2024-02-22 07:09:49,960 INFO    Thread-149:26516 [wandb_setup.py:_flush():76] Configure stats pid to 26516
2024-02-22 07:09:49,961 INFO    Thread-149:26516 [wandb_setup.py:_flush():76] Loading settings from C:\Users\glebk\.config\wandb\settings
2024-02-22 07:09:49,961 INFO    Thread-149:26516 [wandb_setup.py:_flush():76] Loading settings from D:\Study\BP\wandb\settings
2024-02-22 07:09:49,961 INFO    Thread-149:26516 [wandb_setup.py:_flush():76] Loading settings from environment variables: {'project': 'sweeps-hyperparameter-tuning-in-privacy-preserving-machine-learning', 'entity': 'dpnerds', 'root_dir': 'D:\\Study\\BP', 'run_id': 'ixvahbu4', 'sweep_param_path': 'D:\\Study\\BP\\wandb\\sweep-4dvsukjx\\config-ixvahbu4.yaml', 'sweep_id': '4dvsukjx'}
2024-02-22 07:09:49,961 INFO    Thread-149:26516 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-02-22 07:09:49,961 INFO    Thread-149:26516 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'scripts\\sweep_training.py', 'program': 'D:\\Study\\BP\\scripts\\sweep_training.py'}
2024-02-22 07:09:49,961 INFO    Thread-149:26516 [wandb_init.py:_log_setup():506] Logging user logs to D:\Study\BP\wandb\run-20240222_070949-ixvahbu4\logs\debug.log
2024-02-22 07:09:49,961 INFO    Thread-149:26516 [wandb_init.py:_log_setup():507] Logging internal logs to D:\Study\BP\wandb\run-20240222_070949-ixvahbu4\logs\debug-internal.log
2024-02-22 07:09:49,961 INFO    Thread-149:26516 [wandb_init.py:init():546] calling init triggers
2024-02-22 07:09:49,961 INFO    Thread-149:26516 [wandb_init.py:init():552] wandb.init called with sweep_config: {'batch_size': 30, 'epochs': 6, 'l2_norm_clip': 0.15, 'learning_rate': 1e-05, 'microbatches': 30, 'noise_multiplier': 0.3}
config: {'learning_rate': 1e-05, 'dataset': 'heart_2022_no_nans', 'epochs': 6}
2024-02-22 07:09:49,962 INFO    Thread-149:26516 [wandb_init.py:init():602] starting backend
2024-02-22 07:09:49,962 INFO    Thread-149:26516 [wandb_init.py:init():606] setting up manager
2024-02-22 07:09:49,967 INFO    Thread-149:26516 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=spawn, using: spawn
2024-02-22 07:09:49,973 INFO    Thread-149:26516 [wandb_init.py:init():613] backend started and connected
2024-02-22 07:09:49,978 INFO    Thread-149:26516 [wandb_run.py:_config_callback():1251] config_cb None None {'batch_size': 30, 'epochs': 6, 'l2_norm_clip': 0.15, 'learning_rate': 1e-05, 'microbatches': 30, 'noise_multiplier': 0.3}
2024-02-22 07:09:49,979 INFO    Thread-149:26516 [wandb_init.py:init():701] updated telemetry
2024-02-22 07:09:50,016 INFO    Thread-149:26516 [wandb_init.py:init():741] communicating run to backend with 60.0 second timeout
2024-02-22 07:09:50,421 INFO    Thread-149:26516 [wandb_run.py:_on_init():2133] communicating current version
2024-02-22 07:09:50,460 INFO    Thread-149:26516 [wandb_run.py:_on_init():2142] got version response upgrade_message: "wandb version 0.16.3 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2024-02-22 07:09:50,460 INFO    Thread-149:26516 [wandb_init.py:init():789] starting run threads in backend
2024-02-22 07:09:50,603 INFO    Thread-149:26516 [wandb_run.py:_console_start():2114] atexit reg
2024-02-22 07:09:50,603 INFO    Thread-149:26516 [wandb_run.py:_redirect():1969] redirect: SettingsConsole.WRAP_RAW
2024-02-22 07:09:50,603 INFO    Thread-149:26516 [wandb_run.py:_redirect():2034] Wrapping output streams.
2024-02-22 07:09:50,603 INFO    Thread-149:26516 [wandb_run.py:_redirect():2059] Redirects installed.
2024-02-22 07:09:50,604 INFO    Thread-149:26516 [wandb_init.py:init():831] run started, returning control to user process
2024-02-22 07:10:33,981 INFO    Thread-149:26516 [wandb_run.py:_finish():1854] finishing run dpnerds/sweeps-hyperparameter-tuning-in-privacy-preserving-machine-learning/ixvahbu4
2024-02-22 07:10:33,981 INFO    Thread-149:26516 [wandb_run.py:_atexit_cleanup():2083] got exitcode: 0
2024-02-22 07:10:33,982 INFO    Thread-149:26516 [wandb_run.py:_restore():2066] restore
2024-02-22 07:10:33,982 INFO    Thread-149:26516 [wandb_run.py:_restore():2072] restore done
2024-02-22 07:10:38,046 INFO    Thread-149:26516 [wandb_run.py:_footer_history_summary_info():3422] rendering history
2024-02-22 07:10:38,046 INFO    Thread-149:26516 [wandb_run.py:_footer_history_summary_info():3454] rendering summary
2024-02-22 07:10:38,050 INFO    Thread-149:26516 [wandb_run.py:_footer_sync_info():3380] logging synced files
