2024-02-29 21:11:51,819 INFO    Thread-1750:22668 [wandb_setup.py:_flush():76] Configure stats pid to 22668
2024-02-29 21:11:51,820 INFO    Thread-1750:22668 [wandb_setup.py:_flush():76] Loading settings from C:\Users\glebk\.config\wandb\settings
2024-02-29 21:11:51,820 INFO    Thread-1750:22668 [wandb_setup.py:_flush():76] Loading settings from D:\Study\BP\wandb\settings
2024-02-29 21:11:51,820 INFO    Thread-1750:22668 [wandb_setup.py:_flush():76] Loading settings from environment variables: {'project': 'sweeps-hyperparameter-tuning-in-privacy-preserving-machine-learning', 'entity': 'dpnerds', 'root_dir': 'D:\\Study\\BP', 'run_id': 'igbhx9qz', 'sweep_param_path': 'D:\\Study\\BP\\wandb\\sweep-vyenv0ct\\config-igbhx9qz.yaml', 'sweep_id': 'vyenv0ct'}
2024-02-29 21:11:51,820 INFO    Thread-1750:22668 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-02-29 21:11:51,820 INFO    Thread-1750:22668 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'scripts\\sweep_training.py', 'program': 'D:\\Study\\BP\\scripts\\sweep_training.py'}
2024-02-29 21:11:51,820 INFO    Thread-1750:22668 [wandb_init.py:_log_setup():506] Logging user logs to D:\Study\BP\wandb\run-20240229_211151-igbhx9qz\logs\debug.log
2024-02-29 21:11:51,820 INFO    Thread-1750:22668 [wandb_init.py:_log_setup():507] Logging internal logs to D:\Study\BP\wandb\run-20240229_211151-igbhx9qz\logs\debug-internal.log
2024-02-29 21:11:51,820 INFO    Thread-1750:22668 [wandb_init.py:init():546] calling init triggers
2024-02-29 21:11:51,820 INFO    Thread-1750:22668 [wandb_init.py:init():552] wandb.init called with sweep_config: {'batch_size': 15, 'epochs': 6, 'l2_norm_clip': 3, 'learning_rate': 1e-05, 'noise_multiplier': 7.928070916971753}
config: {'learning_rate': 1e-05, 'dataset': 'heart_2022_no_nans', 'epochs': 6}
2024-02-29 21:11:51,820 INFO    Thread-1750:22668 [wandb_init.py:init():602] starting backend
2024-02-29 21:11:51,820 INFO    Thread-1750:22668 [wandb_init.py:init():606] setting up manager
2024-02-29 21:11:51,826 INFO    Thread-1750:22668 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=spawn, using: spawn
2024-02-29 21:11:51,833 INFO    Thread-1750:22668 [wandb_init.py:init():613] backend started and connected
2024-02-29 21:11:51,840 INFO    Thread-1750:22668 [wandb_run.py:_config_callback():1251] config_cb None None {'batch_size': 15, 'epochs': 6, 'l2_norm_clip': 3, 'learning_rate': 1e-05, 'noise_multiplier': 7.928070916971753}
2024-02-29 21:11:51,842 INFO    Thread-1750:22668 [wandb_init.py:init():701] updated telemetry
2024-02-29 21:11:51,961 INFO    Thread-1750:22668 [wandb_init.py:init():741] communicating run to backend with 60.0 second timeout
2024-02-29 21:11:52,353 INFO    Thread-1750:22668 [wandb_run.py:_on_init():2133] communicating current version
2024-02-29 21:11:52,392 INFO    Thread-1750:22668 [wandb_run.py:_on_init():2142] got version response upgrade_message: "wandb version 0.16.3 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2024-02-29 21:11:52,393 INFO    Thread-1750:22668 [wandb_init.py:init():789] starting run threads in backend
2024-02-29 21:11:52,716 INFO    Thread-1750:22668 [wandb_run.py:_console_start():2114] atexit reg
2024-02-29 21:11:52,717 INFO    Thread-1750:22668 [wandb_run.py:_redirect():1969] redirect: SettingsConsole.WRAP_RAW
2024-02-29 21:11:52,717 INFO    Thread-1750:22668 [wandb_run.py:_redirect():2034] Wrapping output streams.
2024-02-29 21:11:52,717 INFO    Thread-1750:22668 [wandb_run.py:_redirect():2059] Redirects installed.
2024-02-29 21:11:52,717 INFO    Thread-1750:22668 [wandb_init.py:init():831] run started, returning control to user process
2024-02-29 21:13:32,820 INFO    Thread-1750:22668 [wandb_run.py:_finish():1854] finishing run dpnerds/sweeps-hyperparameter-tuning-in-privacy-preserving-machine-learning/igbhx9qz
2024-02-29 21:13:32,820 INFO    Thread-1750:22668 [wandb_run.py:_atexit_cleanup():2083] got exitcode: 0
2024-02-29 21:13:32,821 INFO    Thread-1750:22668 [wandb_run.py:_restore():2066] restore
2024-02-29 21:13:32,821 INFO    Thread-1750:22668 [wandb_run.py:_restore():2072] restore done
2024-02-29 21:13:36,634 INFO    Thread-1750:22668 [wandb_run.py:_footer_history_summary_info():3422] rendering history
2024-02-29 21:13:36,634 INFO    Thread-1750:22668 [wandb_run.py:_footer_history_summary_info():3454] rendering summary
2024-02-29 21:13:36,637 INFO    Thread-1750:22668 [wandb_run.py:_footer_sync_info():3380] logging synced files
